player_name,PTS,+/-,TRB,trueShooting,assistToTurnover,stocks,games,minutesPlayed,usage
Corey Benjamin,828,-484,259,0.4320737724346898,0.5083932853717027,0.8489208633093526,139,15.584172661870493,0.48753687292098175
Earl Boykins,5974,-584,901,0.4862827992244523,1.5167434715821815,0.674347158218126,651,20.505581157194047,0.483045791481246
Tyson Wheeler,4,4,0,1.0638297872340425,0,0,1,3.1333333333333333,0.6
Bonzi Wells,7663,589,2951,0.48840475764184876,0.9650668469280458,1.6009463722397477,634,25.59395373291271,0.5391447419489535
Vladimir Stepania,1100,-290,1167,0.4240662960487302,0.15553306342780024,1.0040485829959513,247,14.901821862348188,0.3971159650692453
Rashard Lewis,16764,1814,5861,0.5380541241838153,0.8956883734760632,1.5727029438001785,1121,32.4209782931906,0.44814815059213453
Roshown McLeod,841,-182,311,0.43446634125606987,0.513623188405797,0.48695652173913045,115,18.864492753623185,0.5232642022051502
Shammond Williams,1971,-321,535,0.4679239211187111,1.1811431623931625,0.7051282051282052,312,17.765918803418806,0.4066007999326703
Nazr Mohammed,6165,-865,4971,0.4684063166073366,0.19282658769332017,1.1303060217176704,1013,16.702648897663707,0.3987349350051488
Andrae Patterson,118,-11,64,0.38559261014989904,0.14247311827956988,0.8387096774193549,31,9.406451612903227,0.4073840787372287
Toby Bailey,233,-1,127,0.41586880129472953,0.3157894736842105,0.47368421052631576,57,12.036842105263158,0.42033948211077987
Damon Jones,4643,713,1178,0.5056934652881402,1.3134689922480618,0.42877906976744184,688,21.209084302325554,0.3329701749726274
Mikki Moore,3391,-383,2275,0.5455485453426829,0.3856209150326798,0.9073083778966132,561,19.064171122994633,0.32476189585208043
Sam Jacobson,277,-90,79,0.4962155371857883,0.20192307692307693,0.6730769230769231,52,13.883974358974355,0.38909035030791167
Negele Knight,8,-16,6,0.5402988215488216,0.8333333333333334,0.16666666666666666,6,9.591666666666667,0.3067749533996878
Ryan Stack,93,-87,75,0.3523343201486869,0.125,0.84375,32,11.927604166666665,0.3578389585742695
Jeff Sheppard,35,5,22,0.375906554147128,0.45454545454545453,0.18181818181818182,11,16.37121212121212,0.27542792999816545
Al Harrington,13631,-456,5707,0.501394196525229,0.79178792966746,1.1429970617042116,1021,28.509304603330072,0.5067250215709543
Brian Skinner,2919,-1166,2874,0.459541304345485,0.2117940199335548,1.323920265780731,602,18.36943521594686,0.2985803052440443
Jonathan Kerner,0,2,0,0,0,0,1,4.533333333333333,0.22058823529411764
Adonis Jordan,6,-7,0,0.6593528368794327,0,1.5,2,7.541666666666666,0.32643623643801506
Korleone Young,8,4,4,0.5,0,0,2,6.158333333333333,0.6618898343036275
J.R. Henderson,97,-40,46,0.429664503627331,0.3333333333333333,0.48148148148148145,27,12.069135802469136,0.4143078000316886
Trevor Winter,0,-2,3,0,0,0,1,4.9,0
John Coker,31,-44,27,0.2583586411270027,0.05555555555555555,0.2222222222222222,18,7.13425925925926,0.3199838406121889
Sean Marks,637,-338,507,0.45214132736468615,0.09052453468697125,0.6294416243654822,197,11.614805414551604,0.3402348008021254
Jelani McCoy,1199,-537,917,0.5251894489330423,0.26625514403292183,1.0946502057613168,243,15.688065843621402,0.3462367942226251
Miles Simon,2,-3,1,0.5,0,0,2,6.391666666666667,0.15830753353973168
Tyronn Lue,4746,-1340,952,0.511589066500686,1.4928528528528526,0.5585585585585585,555,22.914504504504514,0.4047276093888988
Makhtar N'Diaye,5,-2,5,0.24010047281323876,0.25,0.25,4,6.75,0.24
Bruno Šundov,149,-124,90,0.39217094740349184,0.09649122807017543,0.43859649122807015,57,7.75233918128655,0.5323911948435636
Alvin Sims,11,-12,4,0.3864471452798191,0.5,0.5,4,6.308333333333334,0.7624897194714131
Rasho Nesterović,5763,1338,4370,0.47912937487991614,0.4955464799688836,1.5332555425904317,857,22.262349280435604,0.33402143340397955
Paul Grant,23,-16,16,0.47688815701238063,0.1111111111111111,0.2222222222222222,9,10.74074074074074,0.3494639900361157
Todd MacCulloch,1533,200,1014,0.5259605746298747,0.27586206896551724,1.168103448275862,232,16.7625,0.40041429410220664
Adrian Griffin,2067,538,1644,0.42479090283212584,0.692240779401531,1.0835073068893528,479,17.83858733472514,0.2905271904711673
Wayne Turner,4,2,3,0.14467592592592593,1,0,3,13.43888888888889,0.21769758537946085
Andre Miller,17136,582,5036,0.5240034847962404,2.8350010450412815,1.3430870519385516,1367,30.869531821506886,0.4485866009748904
Jason Terry,20626,1720,3578,0.542358011985232,1.7708804385063368,1.316546762589928,1529,30.091366906474846,0.4398942806127042
Cal Bowdler,411,-69,264,0.4136813949501021,0.06006006006006006,0.7477477477477478,111,11.913363363363365,0.38257964199324096
